,Date_Time,E,I,D,H,Avg,Std,Avg_w,Std_w
1815,2018-07-08 19:30:00,5.267503333333334,39,6,1,5.2562,0.40500000000000025,5.576265,0.3087616666666664
1816,2018-07-08 20:00:00,4.891186666666666,40,6,1,4.8474,0.060799999999999965,5.079345,0.18815833333333387
1817,2018-07-08 20:30:00,5.356206666666666,41,6,1,5.041499999999999,0.12979999999999992,5.123696666666666,0.23251
1818,2018-07-08 21:00:00,4.459573333333334,42,6,1,5.34615,0.30515000000000025,4.90789,0.44831666666666603
1819,2018-07-08 21:30:00,3.8947333333333334,43,6,1,5.42675,0.37334999999999985,4.177153333333334,0.28242000000000034
1820,2018-07-08 22:00:00,4.155286666666666,44,6,1,5.160549999999999,0.4030499999999999,4.02501,0.13027666666666637
1821,2018-07-08 22:30:00,4.733013333333333,45,6,1,4.863199999999999,0.06570000000000009,4.44415,0.28886333333333347
1822,2018-07-08 23:00:00,4.143553333333333,46,6,1,5.19195,0.3057500000000002,4.438283333333333,0.29472999999999994
1823,2018-07-08 23:30:00,3.90308,47,6,1,5.38885,0.28295000000000003,4.023316666666666,0.12023666666666655
1824,2018-07-09 00:00:00,3.7455966666666662,0,0,0,5.3359499999999995,0.4416500000000001,3.8243383333333334,0.07874166666666693
1825,2018-07-09 00:30:00,3.870686666666667,1,0,0,5.05035,0.24714999999999998,3.8081416666666668,0.0625450000000003
1826,2018-07-09 01:00:00,4.350546666666667,2,0,0,5.0244,0.2185999999999999,4.110616666666667,0.2399300000000002
1827,2018-07-09 01:30:00,4.257059999999999,3,0,0,5.386099999999999,0.21320000000000006,4.303803333333333,0.046743333333334025
1828,2018-07-09 02:00:00,4.056473333333333,4,0,0,5.5661,0.1612,4.156766666666666,0.10029333333333312
1829,2018-07-09 02:30:00,4.100723333333333,5,0,0,5.360849999999999,0.38585,4.078598333333333,0.02212499999999995
1830,2018-07-09 03:00:00,4.45542,6,0,0,5.03105,0.028349999999999653,4.2780716666666665,0.17734833333333366
1831,2018-07-09 03:30:00,4.741016666666667,7,0,0,5.1937999999999995,0.14259999999999984,4.5982183333333335,0.14279833333333336
1832,2018-07-09 04:00:00,4.331413333333333,8,0,0,5.607399999999999,0.29269999999999996,4.536215,0.204801666666667
1833,2018-07-09 04:30:00,4.201013333333333,9,0,0,5.6669,0.31499999999999995,4.266213333333333,0.06519999999999992
1834,2018-07-09 05:00:00,4.859890000000001,10,0,0,5.1697999999999995,0.1871999999999998,4.530451666666667,0.32943833333333394
1835,2018-07-09 05:30:00,4.911356666666666,11,0,0,4.987299999999999,0.005199999999999871,4.885623333333333,0.02573333333333272
1836,2018-07-09 06:00:00,5.365946666666667,12,0,0,5.302199999999999,0.29700000000000015,5.138651666666666,0.22729500000000025
1837,2018-07-09 06:30:00,5.433063333333332,13,0,0,5.76995,0.13095000000000034,5.3995049999999996,0.03355833333333269
1838,2018-07-09 07:00:00,5.215669999999999,14,0,0,5.500249999999999,0.3561499999999999,5.324366666666666,0.10869666666666644
1839,2018-07-09 07:30:00,5.26255,15,0,0,5.1259999999999994,0.0365000000000002,5.23911,0.02344000000000035
1840,2018-07-09 08:00:00,6.298019999999999,16,0,0,5.17825,0.17864999999999975,5.780284999999999,0.5177349999999996
1841,2018-07-09 08:30:00,6.135009999999999,17,0,0,5.46585,0.47825000000000006,6.216514999999999,0.08150499999999994
1842,2018-07-09 09:00:00,5.212099999999999,18,0,0,5.6606,0.06430000000000025,5.673554999999999,0.4614550000000004
1843,2018-07-09 09:30:00,4.667343333333333,19,0,0,5.387599999999999,0.31530000000000014,4.9397216666666655,0.2723783333333327
1844,2018-07-09 10:00:00,4.641099999999999,20,0,0,5.022,0.061100000000000154,4.6542216666666665,0.013121666666667142
1845,2018-07-09 10:30:00,4.5173000000000005,21,0,0,5.23035,0.2555500000000004,4.5792,0.06189999999999918
1846,2018-07-09 11:00:00,4.689013333333333,22,0,0,5.4083,0.5430999999999999,4.603156666666667,0.08585666666666603
1847,2018-07-09 11:30:00,4.517246666666666,23,0,0,4.62195,0.6811499999999997,4.603129999999999,0.08588333333333331
1848,2018-07-09 12:00:00,4.66134,24,0,0,4.45025,0.6585499999999997,4.589293333333333,0.07204666666666704
1849,2018-07-09 12:30:00,4.796809999999999,25,0,0,4.15775,0.9763499999999996,4.729075,0.06773499999999943
1850,2018-07-09 13:00:00,5.50134,26,0,0,4.478199999999999,1.2785999999999995,5.149075,0.3522650000000005
1851,2018-07-09 13:30:00,4.994526666666667,27,0,0,4.75715,1.2395499999999997,5.247933333333334,0.25340666666666634
1852,2018-07-09 14:00:00,6.229776666666666,28,0,0,4.6087,0.5427,5.612151666666667,0.6176249999999994
1853,2018-07-09 14:30:00,6.833696666666665,29,0,0,4.30325,0.7415499999999997,6.531736666666665,0.30195999999999934
